name(Linux),name(Mac/Windows),name_zh,url
twitter,Twitter,推特,https://twitter.com/
youtube,YouTube,YouTube,https://youtube.com
reference,Reference,Reference,https://wangchujiang.com/reference/index.html
coderunner,CodeRunner,CodeRunner,https://riju.codes/
programmusic,ProgramMusic,ProgramMusic,https://musicforprogramming.net/
yuque,YuQue,语雀,https://www.yuque.com/
chatgpt,ChatGPT,ChatGPT,https://chat.openai.com/chat
flomo,Flomo,浮墨,https://v.flomoapp.com/mine
qwerty,Qwerty,Qwerty,https://qwerty.kaiyi.cool/
lizhi,LiZhi,李志,https://lizhi.turkyden.com/?from=pake
xiaohongshu,XiaoHongShu,小红书,https://www.xiaohongshu.com/explore
weread,WeRead,微信阅读,https://weread.qq.com/
